Delay,DEPARTURE,CARRIER,DEST,DISTANCE,FL_NUM,ORIGIN,Weather,DAY_WEEK,Flight Status
0,11,OH,JFK,184,5935,BWI,0,4,ontime
0,13,DH,JFK,213,6155,DCA,0,4,ontime
0,8,DH,LGA,229,7208,IAD,0,4,ontime
-6,13,DH,LGA,229,7215,IAD,0,4,ontime
-4,6,DH,LGA,229,7792,IAD,0,4,ontime
-1,4,DH,JFK,228,7800,IAD,0,4,ontime
3,8,DH,JFK,228,7806,IAD,0,4,ontime
-1,13,DH,JFK,228,7810,IAD,0,4,ontime
-5,13,DH,JFK,228,7812,IAD,0,4,ontime
9,18,DH,JFK,228,7814,IAD,0,4,ontime
-6,18,DH,LGA,229,7924,IAD,0,4,ontime
3,11,DL,JFK,213,746,DCA,0,4,ontime
2,4,DL,LGA,214,1746,DCA,0,4,ontime
-1.99999999999989,8,DL,LGA,214,1752,DCA,0,4,ontime
-1,10,DL,LGA,214,1756,DCA,0,4,ontime
-2,13,DL,LGA,214,1762,DCA,0,4,ontime
-1,17,DL,LGA,214,1768,DCA,0,4,ontime
-4.99999999999989,11,MQ,JFK,213,4752,DCA,0,4,ontime
-4,1,MQ,JFK,213,4760,DCA,0,4,ontime
-8,15,MQ,JFK,213,4784,DCA,0,4,ontime
-7,4,MQ,LGA,214,4956,DCA,0,4,ontime
-6,8,MQ,LGA,214,4964,DCA,0,4,ontime
-3.99999999999989,10,MQ,LGA,214,4966,DCA,0,4,ontime
-8,11,MQ,LGA,214,4968,DCA,0,4,ontime
-7,15,MQ,LGA,214,4976,DCA,0,4,ontime
-9,4,UA,LGA,229,846,IAD,0,4,ontime
-2,4,US,LGA,214,2164,DCA,0,4,ontime
-4,6,US,LGA,214,2168,DCA,0,4,ontime
-7,8,US,LGA,214,2172,DCA,0,4,ontime
-2,11,US,LGA,214,2176,DCA,0,4,ontime
-4.99999999999989,13,US,LGA,214,2180,DCA,0,4,ontime
-5,17,US,LGA,214,2188,DCA,0,4,ontime
-3,11,RU,EWR,169,2403,BWI,0,4,ontime
-10,13,RU,EWR,169,2675,BWI,0,4,ontime
0,6,RU,EWR,169,2303,BWI,0,4,ontime
-4.00000000000006,2,RU,EWR,169,2703,BWI,0,4,ontime
-4,8,CO,EWR,199,808,DCA,0,4,ontime
-4,13,CO,EWR,199,814,DCA,0,4,ontime
0,4,DH,EWR,213,7299,IAD,0,4,ontime
-6,13,DH,EWR,213,7302,IAD,0,4,ontime
0,8,DH,EWR,213,7303,IAD,0,4,ontime
-2,18,DH,EWR,213,7304,IAD,0,4,ontime
-9.00000000000011,13,RU,EWR,213,2497,IAD,0,4,ontime
-10,15,RU,EWR,213,2385,IAD,0,4,ontime
-4.00000000000023,11,RU,EWR,199,2261,DCA,0,4,ontime
-5,15,RU,EWR,199,2336,DCA,0,4,ontime
-2.99999999999989,10,RU,EWR,199,2216,DCA,0,4,ontime
-7,11,RU,EWR,213,2156,IAD,0,4,ontime
-5,8,RU,EWR,213,2664,IAD,0,4,ontime
-5,12,RU,EWR,199,2181,DCA,0,4,ontime
0,11,OH,JFK,184,5935,BWI,0,5,ontime
1,13,DH,JFK,213,6155,DCA,0,5,ontime
4,8,DH,LGA,229,7208,IAD,0,5,ontime
36,11,DH,LGA,229,7211,IAD,0,5,delayed
-3,13,DH,LGA,229,7215,IAD,0,5,ontime
5,1,DH,LGA,229,7790,IAD,0,5,ontime
117,6,DH,LGA,229,7792,IAD,0,5,delayed
19,4,DH,JFK,228,7800,IAD,0,5,ontime
-8,8,DH,JFK,228,7806,IAD,0,5,ontime
0,11,DH,JFK,228,7808,IAD,0,5,ontime
0,13,DH,JFK,228,7810,IAD,0,5,ontime
1,13,DH,JFK,228,7812,IAD,0,5,ontime
105,18,DH,JFK,228,7814,IAD,0,5,delayed
-5.00000000000023,12,DH,JFK,228,7816,IAD,0,5,ontime
-2,18,DH,LGA,229,7924,IAD,0,5,ontime
3,11,DL,JFK,213,746,DCA,0,5,ontime
0,4,DL,LGA,214,1746,DCA,0,5,ontime
0,8,DL,LGA,214,1752,DCA,0,5,ontime
-3,10,DL,LGA,214,1756,DCA,0,5,ontime
0,13,DL,LGA,214,1762,DCA,0,5,ontime
-2,17,DL,LGA,214,1768,DCA,0,5,ontime
-8.00000000000011,11,MQ,JFK,213,4752,DCA,0,5,ontime
-8,1,MQ,JFK,213,4760,DCA,0,5,ontime
17,15,MQ,JFK,213,4784,DCA,0,5,ontime
-8,4,MQ,LGA,214,4956,DCA,0,5,ontime
-7,6,MQ,LGA,214,4960,DCA,0,5,ontime
-2,8,MQ,LGA,214,4964,DCA,0,5,ontime
2,10,MQ,LGA,214,4966,DCA,0,5,ontime
-4,11,MQ,LGA,214,4968,DCA,0,5,ontime
0,4,UA,LGA,229,846,IAD,0,5,ontime
-2.99999999999994,2,US,LGA,214,2160,DCA,0,5,ontime
-3,4,US,LGA,214,2164,DCA,0,5,ontime
-2,6,US,LGA,214,2168,DCA,0,5,ontime
-2,8,US,LGA,214,2172,DCA,0,5,ontime
-2,11,US,LGA,214,2176,DCA,0,5,ontime
-4.99999999999989,13,US,LGA,214,2180,DCA,0,5,ontime
-5,15,US,LGA,214,2184,DCA,0,5,ontime
-4,17,US,LGA,214,2188,DCA,0,5,ontime
-5,13,RU,EWR,169,2675,BWI,0,5,ontime
0,6,RU,EWR,169,2303,BWI,0,5,ontime
-4.00000000000006,2,RU,EWR,169,2703,BWI,0,5,ontime
1,11,RU,EWR,169,2403,BWI,0,5,ontime
-3,13,CO,EWR,199,814,DCA,0,5,ontime
1,8,CO,EWR,199,808,DCA,0,5,ontime
-5,3,CO,EWR,199,806,DCA,0,5,ontime
-3,4,DH,EWR,213,7299,IAD,0,5,ontime
64.9999999999999,8,DH,EWR,213,7303,IAD,0,5,delayed
42,10,DH,EWR,213,7307,IAD,0,5,delayed
-1,1,DH,EWR,213,7371,IAD,0,5,ontime
-5,12,RU,EWR,199,2181,DCA,0,5,ontime
-5.00000000000006,2,RU,EWR,213,2855,IAD,0,5,ontime
-2,4,RU,EWR,199,2582,DCA,0,5,ontime
-2.99999999999994,2,RU,EWR,199,2761,DCA,0,5,ontime
-10.0000000000001,13,RU,EWR,213,2497,IAD,0,5,ontime
-4,15,RU,EWR,213,2385,IAD,0,5,ontime
-7,8,RU,EWR,213,2692,IAD,0,5,ontime
-6,4,RU,EWR,213,3276,IAD,0,5,ontime
-2,15,RU,EWR,199,2336,DCA,0,5,ontime
-10,17,RU,EWR,199,2879,DCA,0,5,ontime
-1.99999999999989,10,RU,EWR,199,2216,DCA,0,5,ontime
-5,11,RU,EWR,213,2156,IAD,0,5,delayed
-6.00000000000023,11,RU,EWR,199,2261,DCA,0,5,ontime
-2,8,DH,LGA,229,7208,IAD,0,6,ontime
23,13,DH,LGA,229,7215,IAD,0,6,ontime
0,1,DH,LGA,229,7790,IAD,0,6,ontime
-9,6,DH,LGA,229,7792,IAD,0,6,ontime
15,4,DH,JFK,228,7800,IAD,0,6,ontime
-3,8,DH,JFK,228,7806,IAD,0,6,ontime
0,11,DH,JFK,228,7808,IAD,0,6,ontime
9.00000000000011,13,DH,JFK,228,7810,IAD,0,6,ontime
26,13,DH,JFK,228,7812,IAD,0,6,ontime
53,18,DH,JFK,228,7814,IAD,0,6,delayed
-6.00000000000023,12,DH,JFK,228,7816,IAD,0,6,ontime
18,18,DH,LGA,229,7924,IAD,0,6,ontime
10,11,DL,JFK,213,746,DCA,0,6,delayed
-1.99999999999994,3,DL,LGA,214,1744,DCA,0,6,ontime
0,6,DL,LGA,214,1748,DCA,0,6,ontime
0,8,DL,LGA,214,1752,DCA,0,6,ontime
-2,10,DL,LGA,214,1756,DCA,0,6,ontime
-1,12,DL,LGA,214,1760,DCA,0,6,ontime
-1,15,DL,LGA,214,1764,DCA,0,6,ontime
-6,17,DL,LGA,214,1768,DCA,0,6,ontime
30,11,MQ,JFK,213,4752,DCA,0,6,delayed
-5,1,MQ,JFK,213,4760,DCA,0,6,ontime
-1,15,MQ,JFK,213,4784,DCA,0,6,ontime
-5,4,MQ,LGA,214,4956,DCA,0,6,ontime
-6,8,MQ,LGA,214,4964,DCA,0,6,ontime
-1,4,UA,LGA,229,846,IAD,0,6,ontime
-5.00000000000006,2,US,LGA,214,2160,DCA,0,6,ontime
-2,4,US,LGA,214,2164,DCA,0,6,ontime
-1,6,US,LGA,214,2168,DCA,0,6,ontime
-4,8,US,LGA,214,2172,DCA,0,6,ontime
0,11,US,LGA,214,2176,DCA,0,6,ontime
-1.99999999999989,13,US,LGA,214,2180,DCA,0,6,ontime
-3,15,US,LGA,214,2184,DCA,0,6,ontime
-6,13,RU,EWR,169,2675,BWI,0,6,ontime
-5.00000000000006,2,RU,EWR,169,2703,BWI,0,6,ontime
-4,6,RU,EWR,169,2303,BWI,0,6,ontime
-7,11,RU,EWR,169,2267,BWI,0,6,ontime
-5,8,CO,EWR,199,808,DCA,0,6,ontime
17,4,DH,EWR,213,7299,IAD,0,6,delayed
-5,13,DH,EWR,213,7302,IAD,0,6,ontime
44,8,DH,EWR,213,7303,IAD,0,6,delayed
6,18,DH,EWR,213,7304,IAD,0,6,ontime
-5,1,DH,EWR,213,7371,IAD,0,6,ontime
-3,13,RU,EWR,213,2497,IAD,0,6,ontime
-3.99999999999989,10,RU,EWR,199,2216,DCA,0,6,ontime
-1.99999999999994,2,RU,EWR,213,2855,IAD,0,6,ontime
11,4,RU,EWR,199,2582,DCA,0,6,ontime
8,13,RU,EWR,199,2097,DCA,0,6,ontime
-4,12,RU,EWR,199,2181,DCA,0,6,ontime
-4,11,RU,EWR,213,2156,IAD,0,6,ontime
3,2,RU,EWR,199,2761,DCA,0,6,ontime
69.9999999999999,11,OH,JFK,184,5935,BWI,0,7,delayed
4,13,DH,JFK,213,6155,DCA,0,7,ontime
4,8,DH,LGA,229,7208,IAD,0,7,ontime
40,11,DH,LGA,229,7211,IAD,0,7,delayed
82,13,DH,LGA,229,7215,IAD,0,7,delayed
0,1,DH,LGA,229,7790,IAD,0,7,ontime
-7,6,DH,LGA,229,7792,IAD,0,7,ontime
20,4,DH,JFK,228,7800,IAD,0,7,ontime
3,8,DH,JFK,228,7806,IAD,0,7,ontime
9,11,DH,JFK,228,7808,IAD,0,7,ontime
-3,13,DH,JFK,228,7810,IAD,0,7,ontime
-6,13,DH,JFK,228,7812,IAD,0,7,ontime
0,18,DH,JFK,228,7814,IAD,0,7,ontime
-3.00000000000023,12,DH,JFK,228,7816,IAD,0,7,ontime
-4,18,DH,LGA,229,7924,IAD,0,7,ontime
5,11,DL,JFK,213,746,DCA,0,7,ontime
-1.99999999999994,3,DL,LGA,214,1744,DCA,0,7,ontime
-2,6,DL,LGA,214,1748,DCA,0,7,ontime
0,8,DL,LGA,214,1752,DCA,0,7,ontime
1.99999999999989,10,DL,LGA,214,1756,DCA,0,7,ontime
-1,12,DL,LGA,214,1760,DCA,0,7,ontime
2,15,DL,LGA,214,1764,DCA,0,7,ontime
0,17,DL,LGA,214,1768,DCA,0,7,ontime
4,11,MQ,JFK,213,4752,DCA,0,7,delayed
-6,1,MQ,JFK,213,4760,DCA,0,7,ontime
15,2,MQ,JFK,213,4771,DCA,0,7,ontime
28,15,MQ,JFK,213,4784,DCA,0,7,delayed
-3,8,MQ,LGA,214,4964,DCA,0,7,ontime
-2,11,MQ,LGA,214,4968,DCA,0,7,delayed
-1,13,MQ,LGA,214,4972,DCA,0,7,ontime
36,15,MQ,LGA,214,4976,DCA,0,7,delayed
-1,4,UA,LGA,229,846,IAD,0,7,ontime
-2,4,US,LGA,214,2164,DCA,0,7,ontime
-6,5,US,LGA,214,2166,DCA,0,7,ontime
-5,6,US,LGA,214,2168,DCA,0,7,ontime
-2,7,US,LGA,214,2170,DCA,0,7,ontime
-3,8,US,LGA,214,2172,DCA,0,7,ontime
-1,10,US,LGA,214,2174,DCA,0,7,ontime
-4,11,US,LGA,214,2176,DCA,0,7,ontime
-1,12,US,LGA,214,2178,DCA,0,7,ontime
-1.99999999999989,13,US,LGA,214,2180,DCA,0,7,ontime
-2,14,US,LGA,214,2182,DCA,0,7,ontime
-3,15,US,LGA,214,2184,DCA,0,7,ontime
-3,16,US,LGA,214,2186,DCA,0,7,ontime
-1,17,US,LGA,214,2188,DCA,0,7,ontime
80,11,RU,EWR,169,2403,BWI,0,7,delayed
61,9,RU,EWR,169,2703,BWI,0,7,delayed
265,12,RU,EWR,169,2603,BWI,0,7,delayed
125,6,RU,EWR,169,2303,BWI,0,7,delayed
-5,8,CO,EWR,199,808,DCA,0,7,ontime
123,12,CO,EWR,199,810,DCA,0,7,delayed
17,4,DH,EWR,213,7299,IAD,0,7,ontime
127,13,DH,EWR,213,7302,IAD,0,7,delayed
25.0000000000001,8,DH,EWR,213,7303,IAD,0,7,delayed
61,18,DH,EWR,213,7304,IAD,0,7,delayed
90,10,DH,EWR,213,7307,IAD,0,7,delayed
142,13,RU,EWR,199,2097,DCA,0,7,delayed
-3,4,RU,EWR,199,2582,DCA,0,7,ontime
-2,4,RU,EWR,213,3276,IAD,0,7,ontime
130,15,RU,EWR,213,2385,IAD,0,7,delayed
-3.99999999999989,10,RU,EWR,199,2216,DCA,0,7,delayed
140,15,RU,EWR,199,2336,DCA,0,7,delayed
42,11,RU,EWR,213,2156,IAD,0,7,delayed
75.0000000000001,11,OH,JFK,184,5935,BWI,0,1,delayed
-2,13,DH,JFK,213,6155,DCA,0,1,delayed
53,8,DH,LGA,229,7208,IAD,0,1,delayed
70.9999999999999,11,DH,LGA,229,7211,IAD,0,1,delayed
93,13,DH,LGA,229,7215,IAD,0,1,delayed
-7.00000000000006,1,DH,LGA,229,7790,IAD,0,1,delayed
15,6,DH,LGA,229,7792,IAD,0,1,ontime
66,4,DH,JFK,228,7800,IAD,0,1,delayed
32.0000000000001,8,DH,JFK,228,7806,IAD,0,1,delayed
15,13,DH,JFK,228,7810,IAD,0,1,ontime
-6,13,DH,JFK,228,7812,IAD,0,1,ontime
40,18,DH,JFK,228,7814,IAD,0,1,delayed
40.9999999999998,12,DH,JFK,228,7816,IAD,0,1,delayed
5,18,DH,LGA,229,7924,IAD,0,1,ontime
4,11,DL,JFK,213,746,DCA,0,1,ontime
0,1,DL,LGA,214,1740,DCA,0,1,ontime
4,2,DL,LGA,214,1742,DCA,0,1,ontime
0,3,DL,LGA,214,1744,DCA,0,1,ontime
2,4,DL,LGA,214,1746,DCA,0,1,ontime
1,6,DL,LGA,214,1748,DCA,0,1,ontime
-2,7,DL,LGA,214,1750,DCA,0,1,ontime
0,8,DL,LGA,214,1752,DCA,0,1,ontime
-1,9,DL,LGA,214,1754,DCA,0,1,ontime
-3,10,DL,LGA,214,1756,DCA,0,1,ontime
5,12,DL,LGA,214,1760,DCA,0,1,ontime
0,13,DL,LGA,214,1762,DCA,0,1,ontime
-1,15,DL,LGA,214,1764,DCA,0,1,ontime
25,16,DL,LGA,214,1766,DCA,0,1,delayed
-2,17,DL,LGA,214,1768,DCA,0,1,ontime
8,11,MQ,JFK,213,4752,DCA,0,1,ontime
-3,1,MQ,JFK,213,4760,DCA,0,1,ontime
-4.00000000000006,2,MQ,LGA,214,4952,DCA,0,1,ontime
-2,3,MQ,LGA,214,4954,DCA,0,1,ontime
-1,4,MQ,LGA,214,4956,DCA,0,1,ontime
3,6,MQ,LGA,214,4960,DCA,0,1,ontime
-10,8,MQ,LGA,214,4964,DCA,0,1,ontime
27,12,MQ,LGA,214,4970,DCA,0,1,delayed
2,13,MQ,LGA,214,4972,DCA,0,1,ontime
49,15,MQ,LGA,214,4976,DCA,0,1,delayed
-2,4,UA,LGA,229,846,IAD,0,1,ontime
-3,1,US,LGA,214,1479,DCA,0,1,delayed
-2.99999999999994,2,US,LGA,214,2160,DCA,0,1,ontime
-3,3,US,LGA,214,2162,DCA,0,1,ontime
0,4,US,LGA,214,2164,DCA,0,1,ontime
-2,5,US,LGA,214,2166,DCA,0,1,ontime
-3,6,US,LGA,214,2168,DCA,0,1,ontime
-5,7,US,LGA,214,2170,DCA,0,1,ontime
-3,8,US,LGA,214,2172,DCA,0,1,ontime
-1.99999999999989,10,US,LGA,214,2174,DCA,0,1,ontime
0,11,US,LGA,214,2176,DCA,0,1,ontime
1,12,US,LGA,214,2178,DCA,0,1,ontime
-2.99999999999989,13,US,LGA,214,2180,DCA,0,1,ontime
-3,14,US,LGA,214,2182,DCA,0,1,ontime
-3,15,US,LGA,214,2184,DCA,0,1,ontime
-1,16,US,LGA,214,2186,DCA,0,1,ontime
0,17,US,LGA,214,2188,DCA,0,1,ontime
44.0000000000001,2,RU,EWR,169,2703,BWI,0,1,delayed
32.0000000000001,11,RU,EWR,169,2403,BWI,0,1,delayed
111,6,RU,EWR,169,2303,BWI,0,1,delayed
24,8,CO,EWR,199,808,DCA,0,1,delayed
-2,3,CO,EWR,199,806,DCA,0,1,ontime
76,13,CO,EWR,199,814,DCA,0,1,delayed
4,4,DH,EWR,213,7299,IAD,0,1,ontime
130,13,DH,EWR,213,7302,IAD,0,1,delayed
72.0000000000001,8,DH,EWR,213,7303,IAD,0,1,delayed
112,18,DH,EWR,213,7304,IAD,0,1,delayed
66,10,DH,EWR,213,7307,IAD,0,1,delayed
-6,1,DH,EWR,213,7371,IAD,0,1,ontime
0,2,RU,EWR,199,2761,DCA,0,1,ontime
116,4,RU,EWR,199,2582,DCA,0,1,delayed
21,8,RU,EWR,213,2692,IAD,0,1,delayed
5,17,RU,EWR,199,2879,DCA,0,1,ontime
-5.00000000000006,2,RU,EWR,213,2855,IAD,0,1,ontime
54,10,RU,EWR,199,2216,DCA,0,1,delayed
124,15,RU,EWR,199,2336,DCA,0,1,delayed
46.9999999999999,11,RU,EWR,213,2156,IAD,0,1,delayed
-5,4,RU,EWR,213,3276,IAD,0,1,ontime
51.9999999999999,11,RU,EWR,199,2261,DCA,0,1,delayed
0,11,OH,JFK,184,5935,BWI,0,2,ontime
-5,8,DH,LGA,229,7208,IAD,0,2,ontime
-4,11,DH,LGA,229,7211,IAD,0,2,ontime
37,13,DH,LGA,229,7215,IAD,0,2,ontime
-4.99999999999994,1,DH,LGA,229,7790,IAD,0,2,ontime
-5,6,DH,LGA,229,7792,IAD,0,2,ontime
15,4,DH,JFK,228,7800,IAD,0,2,ontime
-3,8,DH,JFK,228,7806,IAD,0,2,ontime
-2,11,DH,JFK,228,7808,IAD,0,2,ontime
-4,13,DH,JFK,228,7810,IAD,0,2,ontime
41,13,DH,JFK,228,7812,IAD,0,2,delayed
33,18,DH,JFK,228,7814,IAD,0,2,delayed
-3.00000000000023,12,DH,JFK,228,7816,IAD,0,2,ontime
-2,18,DH,LGA,229,7924,IAD,0,2,ontime
2,11,DL,JFK,213,746,DCA,0,2,ontime
-1,1,DL,LGA,214,1740,DCA,0,2,ontime
-2,2,DL,LGA,214,1742,DCA,0,2,ontime
-0.999999999999943,3,DL,LGA,214,1744,DCA,0,2,ontime
0,4,DL,LGA,214,1746,DCA,0,2,ontime
0,6,DL,LGA,214,1748,DCA,0,2,ontime
0,7,DL,LGA,214,1750,DCA,0,2,ontime
0,8,DL,LGA,214,1752,DCA,0,2,ontime
-3,9,DL,LGA,214,1754,DCA,0,2,ontime
-2,10,DL,LGA,214,1756,DCA,0,2,ontime
-1,11,DL,LGA,214,1758,DCA,0,2,ontime
-1,12,DL,LGA,214,1760,DCA,0,2,ontime
-2,13,DL,LGA,214,1762,DCA,0,2,ontime
0,15,DL,LGA,214,1764,DCA,0,2,ontime
-1,16,DL,LGA,214,1766,DCA,0,2,ontime
1,17,DL,LGA,214,1768,DCA,0,2,ontime
18,11,MQ,JFK,213,4752,DCA,0,2,ontime
-2,1,MQ,JFK,213,4760,DCA,0,2,ontime
13,15,MQ,JFK,213,4784,DCA,0,2,ontime
-5.00000000000006,2,MQ,LGA,214,4952,DCA,0,2,ontime
17,3,MQ,LGA,214,4954,DCA,0,2,ontime
-8,4,MQ,LGA,214,4956,DCA,0,2,ontime
0,6,MQ,LGA,214,4960,DCA,0,2,ontime
13.0000000000001,8,MQ,LGA,214,4964,DCA,0,2,ontime
-4.99999999999989,10,MQ,LGA,214,4966,DCA,0,2,ontime
35,11,MQ,LGA,214,4968,DCA,0,2,delayed
-5,12,MQ,LGA,214,4970,DCA,0,2,ontime
-5.99999999999989,13,MQ,LGA,214,4972,DCA,0,2,ontime
4,15,MQ,LGA,214,4976,DCA,0,2,ontime
0,4,UA,LGA,229,846,IAD,0,2,ontime
-1,1,US,LGA,214,1479,DCA,0,2,ontime
-2.99999999999994,2,US,LGA,214,2160,DCA,0,2,ontime
-2,3,US,LGA,214,2162,DCA,0,2,ontime
-2,4,US,LGA,214,2164,DCA,0,2,ontime
0,5,US,LGA,214,2166,DCA,0,2,ontime
-4,6,US,LGA,214,2168,DCA,0,2,ontime
-2,7,US,LGA,214,2170,DCA,0,2,ontime
-1,8,US,LGA,214,2172,DCA,0,2,ontime
-2.99999999999989,10,US,LGA,214,2174,DCA,0,2,ontime
-2,11,US,LGA,214,2176,DCA,0,2,ontime
-3,12,US,LGA,214,2178,DCA,0,2,ontime
-2.99999999999989,13,US,LGA,214,2180,DCA,0,2,ontime
-2,14,US,LGA,214,2182,DCA,0,2,ontime
-5,15,US,LGA,214,2184,DCA,0,2,ontime
-2,16,US,LGA,214,2186,DCA,0,2,ontime
4,17,US,LGA,214,2188,DCA,0,2,ontime
-4,11,RU,EWR,169,2403,BWI,0,2,ontime
9,13,RU,EWR,169,3372,BWI,0,2,delayed
-1.99999999999994,2,RU,EWR,169,2703,BWI,0,2,ontime
7,6,RU,EWR,169,2303,BWI,0,2,ontime
10,13,CO,EWR,199,814,DCA,0,2,delayed
-4,8,CO,EWR,199,808,DCA,0,2,ontime
-4,15,CO,EWR,199,816,DCA,0,2,delayed
-8,2,CO,EWR,199,806,DCA,0,2,ontime
7,4,DH,EWR,213,7299,IAD,0,2,ontime
-5,13,DH,EWR,213,7302,IAD,0,2,ontime
-9,8,DH,EWR,213,7303,IAD,0,2,ontime
-2,18,DH,EWR,213,7304,IAD,0,2,ontime
4.99999999999989,10,DH,EWR,213,7307,IAD,0,2,ontime
-8,1,DH,EWR,213,7371,IAD,0,2,ontime
82,17,RU,EWR,199,2879,DCA,0,2,delayed
-1,4,RU,EWR,199,2582,DCA,0,2,ontime
1,15,RU,EWR,213,2385,IAD,0,2,delayed
-3,11,RU,EWR,213,2156,IAD,0,2,ontime
-4.00000000000006,2,RU,EWR,213,2855,IAD,0,2,ontime
78.9999999999999,11,RU,EWR,199,2261,DCA,0,2,delayed
-7,8,RU,EWR,213,2367,IAD,0,2,ontime
-2.99999999999989,9,RU,EWR,199,2216,DCA,0,2,ontime
-3.99999999999989,13,RU,EWR,213,2497,IAD,0,2,ontime
-3,12,RU,EWR,199,2181,DCA,0,2,ontime
-1,1,RU,EWR,199,2761,DCA,0,2,ontime
0,11,OH,JFK,184,5935,BWI,0,3,ontime
-1,13,DH,JFK,213,6155,DCA,0,3,ontime
20.9999999999999,8,DH,LGA,229,7208,IAD,0,3,ontime
-10,11,DH,LGA,229,7211,IAD,0,3,ontime
58,13,DH,LGA,229,7215,IAD,0,3,delayed
0,1,DH,LGA,229,7790,IAD,0,3,ontime
-2,6,DH,LGA,229,7792,IAD,0,3,ontime
-9,4,DH,JFK,228,7800,IAD,0,3,ontime
0,8,DH,JFK,228,7806,IAD,0,3,ontime
25.9999999999999,11,DH,JFK,228,7808,IAD,0,3,ontime
-7,13,DH,JFK,228,7810,IAD,0,3,ontime
127,13,DH,JFK,228,7812,IAD,0,3,delayed
0,18,DH,JFK,228,7814,IAD,0,3,ontime
-4.00000000000023,12,DH,JFK,228,7816,IAD,0,3,ontime
6,11,DL,JFK,213,746,DCA,0,3,ontime
0.999999999999943,1,DL,LGA,214,1740,DCA,0,3,ontime
1,3,DL,LGA,214,1744,DCA,0,3,ontime
2,4,DL,LGA,214,1746,DCA,0,3,ontime
0,6,DL,LGA,214,1748,DCA,0,3,ontime
1,7,DL,LGA,214,1750,DCA,0,3,ontime
1,8,DL,LGA,214,1752,DCA,0,3,ontime
-1,9,DL,LGA,214,1754,DCA,0,3,ontime
0,10,DL,LGA,214,1756,DCA,0,3,ontime
-1.99999999999989,11,DL,LGA,214,1758,DCA,0,3,ontime
-1,12,DL,LGA,214,1760,DCA,0,3,ontime
-2,13,DL,LGA,214,1762,DCA,0,3,ontime
-2,15,DL,LGA,214,1764,DCA,0,3,ontime
-3,16,DL,LGA,214,1766,DCA,0,3,ontime
0,17,DL,LGA,214,1768,DCA,0,3,ontime
0,11,MQ,JFK,213,4752,DCA,0,3,ontime
-5,1,MQ,JFK,213,4760,DCA,0,3,ontime
48,15,MQ,JFK,213,4784,DCA,0,3,delayed
-5.00000000000006,2,MQ,LGA,214,4952,DCA,0,3,ontime
-14,3,MQ,LGA,214,4954,DCA,0,3,ontime
-6,4,MQ,LGA,214,4956,DCA,0,3,ontime
-4,6,MQ,LGA,214,4960,DCA,0,3,ontime
-4,8,MQ,LGA,214,4964,DCA,0,3,ontime
-8.00000000000011,10,MQ,LGA,214,4966,DCA,0,3,ontime
-3,11,MQ,LGA,214,4968,DCA,0,3,delayed
24,12,MQ,LGA,214,4970,DCA,0,3,delayed
74,15,MQ,LGA,214,4976,DCA,0,3,delayed
-1,4,UA,LGA,229,846,IAD,0,3,ontime
-2,1,US,LGA,214,1479,DCA,0,3,ontime
-1.99999999999994,2,US,LGA,214,2160,DCA,0,3,ontime
-3,3,US,LGA,214,2162,DCA,0,3,ontime
